DESCRIPTION;Classement des destinations par nb de victoires (top1) en utilisant calculateResults, en bouclant rando/faune/inso/tour/secu (trek=0, bain=0 fixés).;Scénarios=7776;Destinations=52
Destination;WinsTop1
PHILIPPINES (PHILIPPINES);934
RAJA AMPAT (INDONÉSIE);904
KOMODO / FLORES OUEST (INDONÉSIE);592
LOFOTEN (Norvège);550
Indonésie (Indonésie);490
COLOMBIE (COLOMBIE);481
LANZAROTE (ESPAGNE);451
SOCOTRA (YEMEN);392
BORA BORA (POLYNÉSIE FRANÇAISE);281
Yucatán (MEXIQUE);272
Polynésie (Polynésie);227
Papouasie Nouvelle-Guinée (PAPOUASIE-NOUVELLE-Guinée);201
hawaï (ETATS-UNIS);174
EST AUSTRALIEN (AUSTRALIE);159
Nouvelle-Zélande (Nouvelle-Zélande);151
Kamchatka (RUSSIE);141
AMORGOS (GRECE);134
PATAGONIE (CHILI);113
NORD AUSTRALIEN (AUSTRALIE);103
ÎLES COOK (ÎLES COOK);93
COSTA RICA (COSTA RICA);91
CHILI (CHILI);77
ALASKA (ETATS-UNIS);74
Thaïlande (Thaïlande);64
PALAOS (PALAOS);62
PAPOUASIE OCCIDENTALE (Indonésie);59
KENYA (KENYA);55
MOZAMBIQUE (MOZAMBIQUE);50
MAURICE (MAURICE);41
TANZANIE (TANZANIE);38
ZANZIBAR (ZANZIBAR);38
(vide);36
BALI (BALI);27
EL HIERRO (ESPAGNE);26
VENEZUELA (VENEZUELA);24
LA PALMA (ESPAGNE);20
AUSTRALIE (AUSTRALIE);18
Turks and Caicos (Turks and Caicos);16
équateur (équateur);16
BAHAMAS (BAHAMAS);15
IBIZA (ESPAGNE);13
MALDIVES (LES MALDIVES);12
ZANTE (GRECE);10
VANUATU (VANUATU);9
SURINAME (SURINAME);8
Bornéo Indonésien (INDONÉSIE);7
GRANDE RIO & COSTA VERDE (BRÉSIL);6
ANTARCTIQUE (ANTARCTIQUE);5
Îles Féroé (LES Îles Féroé);5
Norvège (Norvège);5
BELIZE (BELIZE);4
LOMBOK (INDONÉSIE);2
